Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
launch-wizard-20,sg-00d822a7d51790fd6
,,,All,All,0.0.0.0/0
Web Proxy Load Balancers,sg-036885dc3e77d7a35
,,Inbound
,,,tcp,3128,172.21.1.0/24
,,,tcp,3128,172.21.2.0/24
,,,tcp,3128,172.21.3.0/24
,,,tcp,3128,172.21.4.0/24
,,,tcp,3128,172.21.7.0/24
,,,tcp,3128,172.21.8.0/24
,,Outbound
,,,tcp,3128,sg-05026549af3b03c7d
OpenVPN-MySQL,sg-037fe2eadd88b08c6
,,Inbound
,,,tcp,3306,172.21.2.80/32
,,,tcp,3306,sg-0d7fb481a3ec04f34
,,Outbound
Windows AD NAT Instance,sg-03952d5e817444615
,,Inbound
,,,tcp,993,172.21.1.226/32
,,,tcp,25,172.21.1.226/32
,,,tcp,465,172.21.1.226/32
,,,tcp,587,172.21.1.226/32
,,Outbound
,,,tcp,993,0.0.0.0/0
,,,tcp,25,0.0.0.0/0
,,,tcp,465,0.0.0.0/0
,,,tcp,587,0.0.0.0/0
default,sg-039b0ac8c8901ccef
,,Inbound
,,Outbound
qlik-web-loadbalancer,sg-040bfa449583097ce
,,Inbound
,,,tcp,443,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
Temp Iguana Testing via Chameleon,sg-041459dc01cc7cc42
,,Inbound
,,,tcp,3389,67.154.119.194/32
,,,tcp,3389,67.154.119.220/32
,,,tcp,3389,47.185.156.76/32
,,,tcp,3389,72.48.205.209/32
,,,tcp,3389,99.127.146.246/32
,,,tcp,3389,131.226.36.57/32
,,Outbound
,,,All,All,0.0.0.0/0
Alt Anna Entry,sg-043b3ccd8267bc47b
,,Inbound
,,,tcp,5506,100.75.87.45/32
,,,tcp,5506,100.75.87.46/32
,,,tcp,5506,100.75.87.47/32
,,,tcp,65535,100.75.84.0/24
,,,tcp,5509,72.237.206.145/32
,,,tcp,5509,72.237.206.148/32
,,,tcp,5509,72.237.206.147/32
,,,tcp,5509,72.237.206.146/32
,,,All,All,192.168.10.148/32
,,,All,All,72.237.206.147/32
,,,All,All,100.75.87.103/32
,,,tcp,5505,100.75.87.28/32
,,,tcp,5505,192.168.10.148/32
,,,tcp,22,47.190.60.88/32
,,,tcp,22,72.48.205.209/32
,,,tcp,22,47.187.221.250/32
,,,tcp,5502,72.237.206.145/32
,,,tcp,5502,72.237.206.148/32
,,,tcp,5502,72.237.206.147/32
,,,tcp,5447,147.206.237.199/32
,,,tcp,5447,147.206.237.200/32
,,,tcp,5447,147.206.237.201/32
,,,tcp,5442,100.75.87.101/32
,,,tcp,5442,100.75.87.102/32
,,,tcp,5442,100.75.87.103/32
,,,tcp,5442,100.75.87.119/32
,,,tcp,5442,100.75.87.183/32
,,,tcp,5442,100.75.87.18/32
,,,tcp,5442,100.75.87.117/32
,,,tcp,5442,100.75.87.118/32
,,,icmp,N/A,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
terraform-prod-rds,sg-04a6350b8c608dca7
,,Inbound
,,,tcp,5432,47.190.60.88/32
,,,tcp,5432,47.187.24.113/32
,,,tcp,5432,172.20.0.0/16
,,,tcp,5432,66.69.180.5/32
,,,tcp,5432,172.20.62.168/32
,,,tcp,5432,172.20.48.223/32
,,,tcp,5432,98.222.192.231/32
,,,tcp,5432,100.8.68.11/32
,,,tcp,5432,10.84.0.0/16
,,,All,All,172.0.0.0/16
,,,icmp,N/A,172.20.0.0/16
,,Outbound
,,,All,All,0.0.0.0/0
all-rdp,sg-04d50b8f3631f17e7
,,Inbound
,,,tcp,3389,0.0.0.0/0
,,,tcp,3389,::/0
,,Outbound
,,,All,All,0.0.0.0/0
insecure-public-test-pg,sg-04ef5a7b8f10523ec
,,Inbound
,,,tcp,5432,131.226.34.254/32
,,Outbound
,,,All,All,0.0.0.0/0
Windows CA Server,sg-04fe36954cd4750c6
,,Inbound
,,,tcp,80,172.22.1.0/24
,,,tcp,80,172.22.2.0/24
,,,tcp,80,172.21.1.0/24
,,,tcp,80,172.21.2.0/24
,,,tcp,80,172.21.3.0/24
,,,tcp,80,172.21.4.0/24
,,,tcp,80,172.20.0.0/24
,,,tcp,80,172.21.7.0/24
,,,tcp,80,172.21.8.0/24
,,,tcp,80,172.31.2.248/32
,,,tcp,80,172.31.14.194/32
,,,tcp,80,172.31.72.56/32
,,,tcp,65535,172.22.1.0/24
,,,tcp,65535,172.21.1.0/24
,,,tcp,65535,172.21.2.0/24
,,,tcp,65535,172.21.3.0/24
,,,tcp,65535,172.21.4.0/24
,,,tcp,65535,172.22.2.0/24
,,,tcp,65535,172.20.0.0/24
,,,tcp,65535,172.21.7.0/24
,,,tcp,65535,172.21.8.0/24
,,,tcp,65535,172.31.2.248/32
,,,tcp,65535,172.31.14.194/32
,,,tcp,65535,172.31.72.56/32
,,,tcp,139,172.21.1.0/24
,,,tcp,139,172.21.2.0/24
,,,tcp,139,172.21.3.0/24
,,,tcp,139,172.21.4.0/24
,,,tcp,139,172.22.1.0/24
,,,tcp,139,172.22.2.0/24
,,,tcp,139,172.20.0.0/24
,,,tcp,139,172.21.7.0/24
,,,tcp,139,172.21.8.0/24
,,,tcp,139,172.31.2.248/32
,,,tcp,139,172.31.14.194/32
,,,tcp,139,172.31.72.56/32
,,,tcp,135,172.21.1.0/24
,,,tcp,135,172.21.2.0/24
,,,tcp,135,172.21.3.0/24
,,,tcp,135,172.21.4.0/24
,,,tcp,135,172.22.1.0/24
,,,tcp,135,172.22.2.0/24
,,,tcp,135,172.20.0.0/24
,,,tcp,135,172.21.7.0/24
,,,tcp,135,172.21.8.0/24
,,,tcp,135,172.31.2.248/32
,,,tcp,135,172.31.14.194/32
,,,tcp,135,172.31.72.56/32
,,,tcp,445,172.21.1.0/24
,,,tcp,445,172.21.2.0/24
,,,tcp,445,172.21.3.0/24
,,,tcp,445,172.21.4.0/24
,,,tcp,445,172.22.1.0/24
,,,tcp,445,172.22.2.0/24
,,,tcp,445,172.20.0.0/24
,,,tcp,445,172.21.7.0/24
,,,tcp,445,172.21.8.0/24
,,,tcp,445,172.31.2.248/32
,,,tcp,445,172.31.14.194/32
,,,tcp,445,172.31.72.56/32
,,Outbound
,,,tcp,443,54.175.125.242/32
,,,tcp,443,54.175.125.243/32
Web Proxy Server,sg-05026549af3b03c7d
,,Inbound
,,,tcp,3128,172.21.1.0/24
,,,tcp,3128,172.21.2.0/24
,,,tcp,3128,172.21.3.0/24
,,,tcp,3128,172.21.4.0/24
,,,tcp,3128,172.21.7.0/24
,,,tcp,3128,172.21.8.0/24
,,Outbound
,,,tcp,80,0.0.0.0/0
,,,tcp,443,0.0.0.0/0
default,sg-052245f23504371af
,,Inbound
,,,All,All,sg-052245f23504371af
,,Outbound
,,,All,All,0.0.0.0/0
ManageEngine PAM360,sg-05432aef414aa0e50
,,Inbound
,,,tcp,8283,172.20.0.0/24
,,,tcp,8283,172.22.2.0/24
,,,tcp,8283,172.22.1.0/24
,,,tcp,443,172.21.1.173/32
,,,tcp,443,sg-05026549af3b03c7d
,,Outbound
,,,tcp,22,172.21.0.0/16
,,,tcp,65535,172.21.0.0/16
,,,tcp,139,172.21.0.0/16
,,,tcp,135,172.21.0.0/16
,,,tcp,3389,172.21.0.0/16
,,,tcp,3389,172.31.2.248/32
,,,tcp,445,172.21.0.0/16
,,,tcp,443,172.21.1.173/32
,,,tcp,443,172.21.1.226/32
ClientServiceDesk Database,sg-056d9471f98a6a125
,,Inbound
,,,tcp,5432,172.31.5.205/32
,,,tcp,5432,47.187.192.180/32
,,,tcp,5432,172.31.6.48/32
,,Outbound
,,,All,All,0.0.0.0/0
AWS Endpoint Inbound,sg-05769f6bda1feece1
,,Inbound
,,,tcp,443,172.21.0.0/16
,,,tcp,443,172.20.0.0/24
,,,tcp,443,172.22.1.0/24
,,,tcp,443,172.22.2.0/24
,,Outbound
,,,All,All,0.0.0.0/0
Infosec RDP Remote Access,sg-0579a70d28b31ede8
,,Inbound
,,,tcp,3389,47.187.214.136/32
,,,tcp,3389,47.190.60.88/30
,,,tcp,3389,47.190.60.92/32
,,,tcp,3389,172.31.0.154/32
,,,tcp,443,47.187.214.136/32
,,,tcp,443,47.190.60.88/30
,,,tcp,443,47.190.60.92/32
,,Outbound
,,,All,All,0.0.0.0/0
launch-wizard-24,sg-057bb7374a4f87209
,,Inbound
,,,tcp,3389,76.187.193.139/32
,,Outbound
,,,All,All,0.0.0.0/0
DNS Inbound,sg-05f1b7322894e2715
,,Inbound
,,,udp,53,172.21.0.0/16
,,,udp,53,172.20.0.0/24
,,,udp,53,172.22.1.0/24
,,,udp,53,172.22.2.0/24
,,Outbound
,,,All,All,0.0.0.0/0
SecureGW for ManageEngine,sg-05f8e0a8ded8e7d52
,,Inbound
,,,tcp,8383,0.0.0.0/0
,,,tcp,8444,0.0.0.0/0
,,,tcp,8027,0.0.0.0/0
,,,tcp,8443,0.0.0.0/0
,,,tcp,8032,0.0.0.0/0
,,,tcp,8020,0.0.0.0/0
,,,tcp,8031,0.0.0.0/0
,,,tcp,3389,47.187.214.136/32
,,,tcp,3389,67.154.119.194/32
,,,tcp,443,0.0.0.0/0
,,,tcp,8022,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
anna-dev-eks,sg-06032665e7f51e83d
,,Inbound
,,,tcp,443,172.30.2.45/32
,,Outbound
,,,All,All,0.0.0.0/0
Quarantine,sg-068ac8ec5f11fac68
,,Inbound
,,Outbound
Client ServiceDesk Plus,sg-06c886f97a7b8bdcc
,,Inbound
,,,tcp,5432,47.187.192.180/32
,,,tcp,22,47.187.214.136/32
,,,tcp,22,47.190.60.88/32
,,,tcp,22,108.219.145.18/32
,,,tcp,22,66.69.180.5/32
,,,tcp,22,47.187.221.250/32
,,,tcp,22,131.226.36.57/32
,,,tcp,22,131.226.34.254/32
,,,tcp,443,47.190.60.88/32
,,,tcp,443,47.190.60.89/32
,,,tcp,443,47.190.60.90/32
,,,tcp,443,47.190.60.91/32
,,,tcp,443,47.190.60.92/32
,,,tcp,443,24.27.108.44/32
,,,tcp,443,0.0.0.0/0
,,,tcp,443,47.187.193.147/32
,,Outbound
,,,All,All,0.0.0.0/0
Administrative SSH Access,sg-06ec8f9a67f280b3d
,,Inbound
,,,tcp,22,172.22.1.0/24
,,,tcp,22,172.22.2.0/24
,,,tcp,22,172.20.0.0/24
,,,tcp,22,172.21.1.33/32
,,Outbound
d-9067088007_controllers,sg-070859f499ceabf8e
,,Inbound
,,,udp,445,0.0.0.0/0
,,,udp,138,0.0.0.0/0
,,,udp,464,0.0.0.0/0
,,,tcp,464,0.0.0.0/0
,,,udp,389,0.0.0.0/0
,,,udp,53,0.0.0.0/0
,,,tcp,389,0.0.0.0/0
,,,udp,123,0.0.0.0/0
,,,tcp,445,0.0.0.0/0
,,,icmp,N/A,0.0.0.0/0
,,,tcp,88,0.0.0.0/0
,,,udp,137,0.0.0.0/0
